[2024-08-16 15:31:10,283] INFO - Main : CyclopOwl - Start
[2024-08-16 15:33:06,179] ERROR - MainSocket : 
[2024-08-16 15:33:06,791] ERROR - MainSocket : 
[2024-08-16 15:33:07,404] ERROR - MainSocket : 
[2024-08-16 15:33:07,627] ERROR - MainSocket : 
[2024-08-16 15:33:08,127] ERROR - MainSocket : 
[2024-08-16 15:33:08,155] ERROR - MainSocket : 
[2024-08-16 15:33:08,185] ERROR - MainSocket : 
[2024-08-16 15:33:08,215] ERROR - MainSocket : 
[2024-08-16 15:33:08,245] ERROR - MainSocket : 
[2024-08-16 15:33:08,275] ERROR - MainSocket : 
[2024-08-16 15:33:08,306] ERROR - MainSocket : 
[2024-08-16 15:33:08,336] ERROR - MainSocket : 
[2024-08-16 15:33:08,366] ERROR - MainSocket : 
[2024-08-16 15:33:08,396] ERROR - MainSocket : 
[2024-08-16 15:33:08,425] ERROR - MainSocket : 
[2024-08-16 15:33:08,456] ERROR - MainSocket : 
[2024-08-16 15:33:08,486] ERROR - MainSocket : 
[2024-08-16 15:33:08,516] ERROR - MainSocket : 
[2024-08-16 15:33:08,546] ERROR - MainSocket : 
[2024-08-16 15:33:08,576] ERROR - MainSocket : 
[2024-08-16 15:33:08,606] ERROR - MainSocket : 
[2024-08-16 15:33:08,636] ERROR - MainSocket : 
[2024-08-16 15:33:08,669] ERROR - MainSocket : 
[2024-08-16 15:33:08,698] ERROR - MainSocket : 
[2024-08-16 15:33:08,728] ERROR - MainSocket : 
[2024-08-16 15:33:08,758] ERROR - MainSocket : 
[2024-08-16 15:33:08,788] ERROR - MainSocket : 
[2024-08-16 15:33:08,818] ERROR - MainSocket : 
[2024-08-16 15:33:08,847] ERROR - MainSocket : 
[2024-08-16 15:33:08,878] ERROR - MainSocket : 
[2024-08-16 15:33:08,908] ERROR - MainSocket : 
[2024-08-16 15:33:08,938] ERROR - MainSocket : 
[2024-08-16 15:33:08,969] ERROR - MainSocket : 
[2024-08-16 15:33:08,999] ERROR - MainSocket : 
[2024-08-16 15:33:09,029] ERROR - MainSocket : 
[2024-08-16 15:33:09,059] ERROR - MainSocket : 
